Parameter	Posterior Mean	Posterior Variance	a_post	b_post
3609_ERX556850_ST3765	7.77108e-05	1.09431e-10	55.1853	710138
6006_ERX139358_ST2188	1.61521e-05	2.27225e-11	11.4816	710842
3055_ERX551116_ST3768	2.41819e-05	3.40215e-11	17.188	710782
2414_ERX359400_ST2508	4.56133e-05	6.41877e-11	32.4139	710624
1623_ERX212136_ST3115	5.31113e-05	7.47524e-11	37.7354	710497
7798_ERX385138_ST3441	4.94739e-05	6.96258e-11	35.1546	710569
2431_ERX359417_ST2944	0.00012831	1.80776e-10	91.0713	709775
1715_ERX221199_ST151	6.26424e-05	8.82013e-11	44.49	710221
NODE_381	1.34606e-05	1.89356e-11	9.56857	710860
NODE_382	3.91013e-05	5.50292e-11	27.7837	710556
NODE_383	2.71675e-05	3.82319e-11	19.3052	710599
NODE_384	2.74551e-06	3.86182e-12	1.95189	710938
NODE_385	2.97815e-05	4.19107e-11	21.1626	710595
NODE_386	2.01703e-05	2.83764e-11	14.3373	710812
NODE_387	1.94671e-05	2.73909e-11	13.8355	710713
NODE_389	8.10533e-06	1.14015e-11	5.76207	710899
NODE_390	4.0859e-06	5.74727e-12	2.90478	710928
NODE_391	1.34663e-05	1.89437e-11	9.57268	710860
NODE_392	2.285e-05	3.21472e-11	16.2416	710793
NODE_393	3.42473e-06	4.92885e-12	2.37962	694834
NODE_394	0.00290232	5.10075e-09	1651.42	569000
NODE_395	9.44736e-06	1.32895e-11	6.71603	710890
NODE_396	2.68723e-05	3.78077e-11	19.0999	710763
NODE_397	1.08063e-05	1.5214e-11	7.6755	710282
NODE_398	1.70962e-06	2.47826e-12	1.17937	689846
NODE_399	4.08922e-06	5.75194e-12	2.90714	710929
NODE_400	2.74624e-06	3.86284e-12	1.95241	710938
NODE_401	2.7462e-06	3.86278e-12	1.95238	710938
NODE_402	6.76249e-06	9.51246e-12	4.80751	710909
NODE_404	2.15051e-05	3.02547e-11	15.2858	710802
NODE_405	1.74794e-05	2.45901e-11	12.4249	710830
NODE_406	8.10624e-06	1.14028e-11	5.76272	710899
NODE_408	2.7455e-06	3.8618e-12	1.95188	710938
NODE_409	2.85654e-05	4.02001e-11	20.2981	710581
NODE_410	1.4803e-05	2.08243e-11	10.5227	710850
NODE_411	6.76446e-06	9.51523e-12	4.80891	710909
NODE_413	6.76697e-06	9.51875e-12	4.8107	710909
NODE_414	0.000561131	8.34897e-10	377.134	672096
NODE_415	5.76223e-05	8.10976e-11	40.9425	710531
NODE_418	1.61431e-05	2.27099e-11	11.4752	710840
NODE_419	2.7491e-06	3.86685e-12	1.95444	710939
NODE_427	2.747e-06	3.8639e-12	1.95294	710938
NODE_428	2.74752e-06	3.86464e-12	1.95332	710938
NODE_429	8.76973e-05	1.23502e-10	62.2726	710086
NODE_430	8.03172e-05	1.13068e-10	57.0528	710344
NODE_432	1.2127e-05	1.70594e-11	8.62072	710870
NODE_434	0.00129986	2.01138e-09	840.041	646253
NODE_435	1.21304e-05	1.70641e-11	8.62315	710871
NODE_436	0.000587835	8.70535e-10	396.939	675257
NODE_437	0.000122299	1.75695e-10	85.1311	696089
NODE_438	0.000106109	1.51815e-10	74.1627	698932
NODE_440	4.08829e-06	5.75064e-12	2.90648	710929
NODE_441	1.74796e-05	2.45905e-11	12.4251	710830
NODE_442	0.000951998	1.43697e-09	630.701	662503
NODE_443	0.00168608	2.63915e-09	1077.2	638874
NODE_444	0.00125872	1.90431e-09	831.99	660983
NODE_446	0.000110198	1.55313e-10	78.1874	709519
NODE_447	1.34647e-05	1.89414e-11	9.57151	710860
NODE_448	5.42596e-06	7.63233e-12	3.85742	710919
NODE_449	0.000157566	2.22206e-10	111.729	709098
NODE_450	4.4293e-05	6.23288e-11	31.4762	710635
NODE_451	1.21806e-05	1.71377e-11	8.65734	710747
NODE_452	2.80439e-05	3.94656e-11	19.9277	710590
NODE_454	9.44714e-06	1.32892e-11	6.71587	710890
NODE_455	5.42804e-06	7.63524e-12	3.85889	710919
NODE_456	7.37597e-05	1.03826e-10	52.4	710415
NODE_457	2.82038e-05	3.96815e-11	20.0459	710753
NODE_458	1.74803e-05	2.45913e-11	12.4255	710830
NODE_459	4.15927e-05	5.85275e-11	29.5579	710652
NODE_460	1.74836e-05	2.45961e-11	12.4279	710831
NODE_461	1.52203e-05	2.14176e-11	10.8162	710644
NODE_463	9.44518e-06	1.32864e-11	6.71448	710889
NODE_464	6.76784e-06	9.51998e-12	4.81132	710909
NODE_465	3.12564e-05	4.39853e-11	22.2111	710610
NODE_466	4.08629e-06	5.74783e-12	2.90506	710928
NODE_467	6.7662e-06	9.51768e-12	4.81015	710909
NODE_468	2.95427e-05	4.15659e-11	20.9973	710743
NODE_470	5.42558e-06	7.63178e-12	3.85714	710919
NODE_471	2.56811e-05	3.61383e-11	18.2499	710635
NODE_472	0.000431005	6.16749e-10	301.2	698833
NODE_475	3.33786e-05	4.69938e-11	23.7081	710277
NODE_477	2.41898e-05	3.40326e-11	17.1937	710783
NODE_478	2.8399e-05	3.9964e-11	20.1808	710616
NODE_479	1.07825e-05	1.51678e-11	7.66502	710879
NODE_480	4.31936e-05	6.07928e-11	30.6892	710504
NODE_481	1.74891e-05	2.46038e-11	12.4318	710831
NODE_482	0.00117913	1.79051e-09	776.516	658548
NODE_484	5.42671e-06	7.63338e-12	3.85795	710919
NODE_486	1.21262e-05	1.70583e-11	8.62017	710870
NODE_487	3.22262e-05	4.53428e-11	22.9039	710724
NODE_488	8.2746e-05	1.16531e-10	58.7559	710075
NODE_489	1.76719e-05	2.48666e-11	12.5588	710665
NODE_490	1.34698e-05	1.89485e-11	9.57512	710861
NODE_491	1.34633e-05	1.89395e-11	9.57055	710860
NODE_493	1.21224e-05	1.7053e-11	8.61748	710870
NODE_494	2.15018e-05	3.02501e-11	15.2835	710801
NODE_495	2.94917e-05	4.15032e-11	20.9565	710588
NODE_497	1.21211e-05	1.70512e-11	8.61656	710870
NODE_499	0.00093959	1.41114e-09	625.616	665839
NODE_500	6.76639e-06	9.51794e-12	4.81029	710909
NODE_501	1.8826e-05	2.64848e-11	13.3819	710821
NODE_502	0.00220138	3.40871e-09	1421.67	645810
NODE_503	8.98484e-05	1.27873e-10	63.131	702640
NODE_504	1.74852e-05	2.45982e-11	12.429	710831
NODE_505	8.10801e-06	1.14053e-11	5.76398	710899
NODE_509	4.08691e-06	5.74869e-12	2.9055	710929
NODE_511	4.29246e-05	6.04025e-11	30.504	710642
NODE_514	2.74512e-06	3.86126e-12	1.95161	710938
NODE_515	2.7468e-06	3.86362e-12	1.9528	710938
NODE_517	2.74781e-06	3.86505e-12	1.95353	710938
NODE_519	1.48032e-05	2.08246e-11	10.5228	710850
NODE_520	3.2764e-05	4.69647e-11	22.8572	697631
NODE_521	2.95429e-05	4.15663e-11	20.9974	710743
NODE_522	1.21207e-05	1.70505e-11	8.6162	710869
NODE_523	9.44151e-06	1.32813e-11	6.71186	710889
NODE_524	9.44196e-06	1.32819e-11	6.71218	710889
NODE_525	8.10277e-06	1.13979e-11	5.76025	710899
NODE_526	0.00121311	1.83119e-09	803.651	662472
NODE_528	4.08528e-06	5.7464e-12	2.90434	710928
NODE_529	0.00101173	1.51143e-09	677.239	669387
NODE_530	0.00116049	1.73961e-09	774.163	667100
NODE_531	0.001127	1.70063e-09	746.859	662696
NODE_532	0.000103694	1.4611e-10	73.5912	709698
NODE_533	0.000107898	1.51961e-10	76.6112	710036
NODE_534	9.74267e-05	1.37249e-10	69.1585	709852
NODE_535	0.00084497	1.27305e-09	560.838	663737
NODE_536	0.00140762	2.13467e-09	928.191	659407
NODE_537	4.08876e-06	5.75129e-12	2.90682	710929
NODE_538	0.00116155	1.74479e-09	773.276	665726
NODE_539	0.000893819	1.32598e-09	602.505	674080
NODE_540	0.00015712	2.27396e-10	108.562	690953
NODE_541	0.000183813	2.62764e-10	128.584	699537
NODE_542	0.00041601	6.02979e-10	287.016	689925
NODE_543	0.000309865	4.47667e-10	214.481	692177
NODE_544	0.000263651	3.77166e-10	184.3	699031
NODE_545	0.000229178	3.26383e-10	160.923	702176
NODE_546	0.000426555	6.18852e-10	294.011	689269
NODE_547	0.000261452	3.74277e-10	182.638	698552
NODE_548	0.000747709	1.09988e-09	508.298	679808
NODE_549	0.000236595	3.36789e-10	166.208	702502
NODE_550	0.000124967	1.76951e-10	88.2552	706225
NODE_551	0.000188446	2.66486e-10	133.26	707153
NODE_552	0.000277695	3.96355e-10	194.56	700624
NODE_553	0.000139513	1.9756e-10	98.5208	706179
NODE_554	0.000306527	4.4054e-10	213.281	695799
NODE_555	0.000164755	2.3422e-10	115.892	703422
NODE_556	9.65596e-05	1.36601e-10	68.2557	706876
NODE_559	1.48108e-05	2.08354e-11	10.5283	710851
NODE_560	2.74459e-06	3.86052e-12	1.95123	710938
NODE_562	8.11149e-06	1.14102e-11	5.76646	710900
NODE_563	6.77195e-06	9.52575e-12	4.81424	710910
NODE_564	5.4271e-06	7.63393e-12	3.85823	710919
NODE_565	5.42592e-06	7.63226e-12	3.85738	710919
NODE_566	2.74701e-06	3.86392e-12	1.95295	710938
NODE_568	2.74684e-06	3.86368e-12	1.95283	710938
NODE_570	2.7481e-06	3.86545e-12	1.95373	710938
NODE_571	2.74468e-06	3.86065e-12	1.9513	710938
NODE_578	2.47476e-05	3.4824e-11	17.5868	710648
NODE_579	1.62762e-05	2.29021e-11	11.5672	710684
NODE_580	2.74715e-06	3.86412e-12	1.95305	710938
NODE_581	1.61418e-05	2.27081e-11	11.4743	710840
NODE_582	1.47521e-05	2.07531e-11	10.4864	710839
NODE_583	2.747e-06	3.86391e-12	1.95295	710938
NODE_585	2.7475e-06	3.86461e-12	1.9533	710938
NODE_586	0.00146478	2.24837e-09	954.287	651486
NODE_587	0.000102156	1.44465e-10	72.2378	707132
NODE_588	0.000291241	4.16505e-10	203.65	699250
NODE_589	0.000116123	1.63895e-10	82.2752	708520
NODE_590	0.000325839	4.76328e-10	222.895	684064
NODE_591	0.000349942	4.9841e-10	245.7	702116
NODE_592	0.000528046	7.56732e-10	368.47	697799
NODE_593	0.000126364	1.7841e-10	89.5008	708277
NODE_594	0.000283588	4.03673e-10	199.227	702520
NODE_595	0.000544128	7.81599e-10	378.808	696173
NODE_596	0.000307866	4.41439e-10	214.71	697414
NODE_597	0.000375489	5.36126e-10	262.982	700374
NODE_598	8.88078e-05	1.33875e-10	58.9119	663364
NODE_599	0.000925405	1.37395e-09	623.295	673538
NODE_600	0.000644852	9.67802e-10	429.668	666305
NODE_601	1.74831e-05	2.45953e-11	12.4275	710831
NODE_602	8.10402e-06	1.13997e-11	5.76114	710899
NODE_605	4.03872e-05	6.01925e-11	27.0985	670967
NODE_606	7.75611e-05	1.09206e-10	55.0861	710229
NODE_607	4.36547e-05	6.14442e-11	31.0158	710478
NODE_608	2.28495e-05	3.21466e-11	16.2413	710792
NODE_609	0.00117453	1.79826e-09	767.143	653148
NODE_610	2.74617e-06	3.86274e-12	1.95236	710938
NODE_611	4.08445e-06	5.74523e-12	2.90375	710928
NODE_612	5.42309e-06	7.62828e-12	3.85537	710918
NODE_613	0.000104873	1.47697e-10	74.4657	710054
NODE_614	2.68698e-05	3.78041e-11	19.098	710763
NODE_615	7.44989e-05	1.06395e-10	52.1651	700212
NODE_616	7.96173e-06	1.12e-11	5.65975	710870
NODE_617	2.74723e-06	3.86423e-12	1.95311	710938
NODE_618	2.74644e-06	3.86312e-12	1.95255	710938
NODE_621	7.1853e-05	1.02193e-10	50.5208	703113
NODE_623	2.74746e-06	3.86455e-12	1.95327	710938
NODE_627	2.74358e-06	3.85909e-12	1.95051	710938
NODE_628	8.10762e-06	1.14047e-11	5.7637	710899
NODE_631	4.08358e-06	5.74402e-12	2.90313	710928
NODE_634	2.74789e-06	3.86516e-12	1.95358	710938
NODE_635	2.74581e-06	3.86224e-12	1.9521	710938
NODE_636	3.02572e-05	4.25768e-11	21.5022	710649
NODE_637	2.74819e-06	3.86558e-12	1.95379	710938
NODE_638	0.000903649	1.36038e-09	600.259	664261
NODE_639	2.68624e-05	3.77938e-11	19.0928	710762
NODE_640	5.42454e-06	7.63032e-12	3.8564	710919
NODE_643	2.74567e-06	3.86203e-12	1.952	710938
NODE_647	5.94598e-05	8.47656e-11	41.7088	701462
NODE_648	2.55241e-05	3.59104e-11	18.1419	710772
NODE_649	3.47357e-05	4.88771e-11	24.6859	710676
NODE_650	3.35704e-05	4.72347e-11	23.8589	710714
NODE_651	1.07869e-05	1.5174e-11	7.6682	710880
NODE_652	2.41802e-05	3.40192e-11	17.1868	710781
NODE_653	2.82108e-05	3.96914e-11	20.0509	710753
NODE_654	0.000206548	2.98717e-10	142.818	691452
NODE_655	1.46929e-05	2.06748e-11	10.4417	710667
NODE_656	2.04545e-05	2.8782e-11	14.5364	710669
NODE_657	6.76504e-06	9.51604e-12	4.80933	710909
NODE_658	1.67525e-05	2.35739e-11	11.9049	710637
NODE_659	5.42421e-06	7.62986e-12	3.85617	710919
NODE_660	4.08579e-06	5.74712e-12	2.90471	710929
NODE_662	2.74588e-06	3.86233e-12	1.95215	710938
NODE_663	1.34654e-05	1.89424e-11	9.57203	710860
NODE_664	8.10492e-06	1.14009e-11	5.76178	710899
NODE_665	3.62419e-05	5.09952e-11	25.7569	710694
NODE_666	2.74713e-06	3.86409e-12	1.95304	710938
NODE_667	1.07853e-05	1.51718e-11	7.66707	710880
NODE_668	9.48835e-06	1.33495e-11	6.744	710766
NODE_669	6.76391e-06	9.51446e-12	4.80853	710909
NODE_670	1.40692e-06	1.97939e-12	1.00001	710783
NODE_671	1.76118e-05	2.50761e-11	12.3694	702335
NODE_672	5.54355e-05	7.80465e-11	39.3752	710288
NODE_673	0.000854119	1.27877e-09	570.487	667924
NODE_674	1.21154e-05	1.70432e-11	8.61246	710867
NODE_675	2.74539e-06	3.86165e-12	1.95181	710938
NODE_676	8.10636e-06	1.1403e-11	5.76281	710899
NODE_677	8.10685e-06	1.14037e-11	5.76316	710899
NODE_678	4.09246e-05	5.86389e-11	28.5617	697909
NODE_679	0.000635724	9.43661e-10	428.274	673679
NODE_680	0.000715222	1.06513e-09	480.263	671488
NODE_683	2.74755e-06	3.86467e-12	1.95334	710938
NODE_684	0.00103848	1.5662e-09	688.567	663055
NODE_685	3.25798e-05	4.62009e-11	22.9745	705177
NODE_686	0.00080649	1.20581e-09	539.41	668837
NODE_687	4.56182e-05	6.41945e-11	32.4174	710624
NODE_688	0.00114006	1.71605e-09	757.395	664349
NODE_689	0.000738979	1.09992e-09	496.484	671851
NODE_690	4.82295e-05	6.78724e-11	34.2715	710591
NODE_691	0.00083652	1.24913e-09	560.202	669681
NODE_692	0.000535361	7.96176e-10	359.984	672415
NODE_693	7.86234e-05	1.10721e-10	55.8308	710104
NODE_694	0.000912241	1.36532e-09	609.517	668154
NODE_695	0.000370014	5.40513e-10	253.297	684560
NODE_696	1.07854e-05	1.51719e-11	7.66714	710880
NODE_697	0.00101689	1.52535e-09	677.922	666662
NODE_698	0.000529186	7.79104e-10	359.436	679224
NODE_699	0.000430108	6.216e-10	297.607	691936
NODE_700	0.000357381	5.19832e-10	245.698	687494
NODE_701	0.000412334	6.00035e-10	283.349	687184
NODE_702	0.00104787	1.57474e-09	697.285	665428
NODE_703	4.0856e-06	5.74686e-12	2.90457	710928
NODE_704	2.02806e-05	2.85368e-11	14.413	710682
NODE_709	4.08743e-06	5.74942e-12	2.90587	710929
NODE_710	2.01672e-05	2.83721e-11	14.3351	710812
NODE_711	8.10586e-06	1.14023e-11	5.76245	710899
NODE_712	0.000248626	3.58204e-10	172.569	694091
NODE_713	2.745e-06	3.8611e-12	1.95153	710938
NODE_714	4.08551e-06	5.74673e-12	2.90451	710928
NODE_715	2.36345e-05	3.32598e-11	16.7947	710602
NODE_716	4.08817e-06	5.75046e-12	2.9064	710929
NODE_718	4.08432e-06	5.74506e-12	2.90366	710928
NODE_720	1.74757e-05	2.4585e-11	12.4222	710829
NODE_721	6.76412e-06	9.51475e-12	4.80867	710909
NODE_722	1.00994e-05	1.42113e-11	7.17722	710658
NODE_723	2.74819e-06	3.86558e-12	1.95379	710938
NODE_724	2.74592e-06	3.86239e-12	1.95218	710938
NODE_727	2.74717e-06	3.86415e-12	1.95307	710938
NODE_728	4.08599e-06	5.74741e-12	2.90485	710928
NODE_729	4.08652e-06	5.74814e-12	2.90522	710929
NODE_731	1.2126e-05	1.7058e-11	8.62003	710870
NODE_732	4.08329e-06	5.74361e-12	2.90293	710928
NODE_733	0.000942942	1.41944e-09	626.4	664304
NODE_734	0.000218653	3.13314e-10	152.591	697871
NODE_735	0.000186785	2.67198e-10	130.572	699050
NODE_736	0.000448221	6.46005e-10	310.992	693836
NODE_737	0.000226718	3.23413e-10	158.933	701016
NODE_738	0.000257511	3.68375e-10	180.012	699046
NODE_739	0.000261095	3.74355e-10	182.101	697452
NODE_740	5.5835e-05	7.89439e-11	39.4906	707274
NODE_741	6.22662e-05	8.8103e-11	44.0062	706743
NODE_742	0.00027622	3.98338e-10	191.54	693432
NODE_743	0.000271486	3.90653e-10	188.67	694954
NODE_744	0.000122197	1.73702e-10	85.9636	703484
NODE_745	6.88863e-05	9.75737e-11	48.6333	705993
NODE_746	0.000260191	3.73764e-10	181.129	696139
NODE_747	0.000159432	2.26164e-10	112.39	704940
NODE_748	0.000102723	1.45425e-10	72.56	706364
NODE_749	0.000175938	2.49758e-10	123.937	704434
NODE_750	3.38532e-05	4.77505e-11	24.0006	708961
NODE_751	0.000105196	1.48825e-10	74.3577	706847
NODE_752	0.000126595	1.79428e-10	89.3185	705547
NODE_753	0.000133725	1.89704e-10	94.2643	704912
NODE_754	0.000204163	2.90467e-10	143.502	702879
NODE_755	0.000185667	2.66331e-10	129.434	697131
NODE_756	0.000106522	1.51855e-10	74.7225	701474
NODE_757	0.00109095	1.63412e-09	728.323	667607
