annotation_id	locus_tag	protein_id	gene	product
1258	SA_RS06425	WP_000073352.1	.	DNA mismatch repair protein MutS
1262	SA_RS06445	WP_000417372.1	glpK	glycerol kinase
1263	SA_RS06450	WP_001218596.1	.	aerobic glycerol-3-phosphate dehydrogenase
1266	SA_RS06465	WP_000561358.1	.	RNA-binding protein Hfq
1270	SA_RS06485	WP_031760852.1	.	MerR family transcriptional regulator
1271	SA_RS06490	WP_001126606.1	.	glutamine synthetase
1290	SA_RS06585	WP_001027143.1	.	membrane protein
1291	SA_RS06590	WP_000841351.1	.	thermonuclease
1293	SA_RS06600	WP_001803470.1	.	hypothetical protein
1295	SA_RS06610	WP_000735864.1	.	homoserine dehydrogenase
1296	SA_RS06615	WP_001255461.1	.	threonine synthase
1299	SA_RS06630	WP_000580201.1	.	hypothetical protein
1301	SA_RS06640	WP_000389956.1	.	gamma-aminobutyrate permease
1302	SA_RS06645	WP_000082539.1	.	catalase
1303	SA_RS06650	WP_001265708.1	.	50S ribosomal protein L33
1304	SA_RS06655	WP_001085655.1	.	30S ribosomal protein S14
1306	SA_RS06665	WP_001791425.1	.	hypothetical protein
1307	SA_RS06670	WP_000380730.1	.	secretion protein
1308	SA_RS06675	WP_001208755.1	.	LexA repressor
1309	SA_RS06680	WP_001557339.1	.	membrane protein
1311	SA_RS06690	WP_000481443.1	.	transketolase
1312	SA_RS06695	WP_000246909.1	.	hypothetical protein
1313	SA_RS06700	WP_001789897.1	.	hypothetical protein
1314	SA_RS06705	WP_000966142.1	.	membrane protein
1322	SA_RS06745	WP_000972779.1	.	glycerol-3-phosphate acyltransferase
1323	SA_RS06750	WP_001557340.1	gyrB	DNA topoisomerase IV subunit B
1324	SA_RS06755	WP_001289562.1	.	DNA topoisomerase 4 subunit A
1325	SA_RS06760	WP_001791428.1	.	hypothetical protein
1327	SA_RS06770	WP_000505015.1	.	protein GlcT
1331	SA_RS06790	WP_001024830.1	.	peptide-methionine (S)-S-oxide reductase
1333	SA_RS06800	WP_001123276.1	.	tautomerase
1335	SA_RS06810	WP_000214278.1	.	prephenate dehydrogenase
1336	SA_RS06815	WP_000433354.1	.	aminopeptidase
1345	SA_RS06860	WP_000673098.1	.	aminoacyltransferase FemB
1359	SA_RS06930	WP_000204619.1	.	phosphate ABC transporter permease subunit PstC
1364	SA_RS06955	WP_000942303.1	.	ABC transporter ATP-binding protein
1369	SA_RS06980	WP_000249839.1	.	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
1374	SA_RS07005	WP_000809131.1	.	cold-shock protein CspA
1375	SA_RS07010	WP_001791186.1	.	hypothetical protein
1376	SA_RS07015	WP_000269923.1	.	hypothetical protein
1377	SA_RS07020	WP_001215907.1	.	acylphosphatase
1379	SA_RS07030	WP_000138415.1	.	tellurite resistance protein TelA
1382	SA_RS07045	WP_001185421.1	.	hypothetical protein
1383	SA_RS07050	WP_000902175.1	.	hypothetical protein
1392	SA_RS07095	WP_000160906.1	.	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
1393	SA_RS07100	WP_000620194.1	.	acetyltransferase
1396	SA_RS07115	WP_000801007.1	.	hypothetical protein
1397	SA_RS07120	WP_000473653.1	.	glucose-specific phosphotransferase enzyme IIA component
1399	SA_RS07130	WP_000159900.1	.	peptide-methionine (S)-S-oxide reductase
1400	SA_RS07135	WP_000166063.1	.	hypothetical protein
1401	SA_RS07140	WP_000175746.1	.	dihydrofolate reductase
1403	SA_RS07150	WP_000995287.1	.	hypothetical protein
1405	SA_RS07160	WP_000691942.1	.	hypothetical protein
1421	SA_RS07240	WP_000487154.1	.	RNA methyltransferase
1422	SA_RS07245	WP_001286320.1	.	cell cycle protein GpsB
1426	SA_RS07265	WP_001108889.1	.	Holliday junction resolvase RecU
1429	SA_RS07280	WP_000253765.1	.	endonuclease III
1430	SA_RS07285	WP_000362218.1	.	chromosome replication protein DnaD
1431	SA_RS07290	WP_000858779.1	asnC	asparagine--tRNA ligase
1434	SA_RS07305	WP_000361540.1	.	CCA-adding enzyme
1435	SA_RS07310	WP_000690025.1	.	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA
1436	SA_RS07315	WP_000839926.1	.	hypothetical protein
1437	SA_RS07320	WP_001827022.1	.	zinc metallopeptidase
1440	SA_RS07335	WP_000389524.1	.	hypothetical protein
1447	SA_RS07370	WP_000774684.1	.	demethylmenaquinone methyltransferase
1449	SA_RS07380	WP_001792201.1	.	hypothetical protein
1450	SA_RS07385	WP_001043863.1	.	DNA-binding protein HU
1451	SA_RS07390	WP_000161745.1	.	glycerol-3-phosphate dehydrogenase (NAD(P)(+))
1452	SA_RS07395	WP_000165530.1	engA	ribosome biogenesis GTPase Der
1458	SA_RS07425	WP_000681757.1	.	L-asparaginase
1459	SA_RS07430	WP_001174258.1	.	thioredoxin reductase
1465	SA_RS07460	WP_001186912.1	.	hypothetical protein
1474	SA_RS07505	WP_000064078.1	.	DNA-binding response regulator
1476	SA_RS07515	WP_000368656.1	.	SMC-Scp complex subunit ScpB
1477	SA_RS07520	WP_000273371.1	.	segregation and condensation protein A
1478	SA_RS07525	WP_001183429.1	.	hypothetical protein
1479	SA_RS07530	WP_000447733.1	.	tyrosine recombinase XerD
1480	SA_RS07535	WP_000392691.1	.	transcriptional repressor
1481	SA_RS07540	WP_000365240.1	.	ADP-ribose pyrophosphatase
1486	SA_RS07565	WP_000454063.1	.	ribonuclease Z
1487	SA_RS07570	WP_000105070.1	.	glucose-6-phosphate dehydrogenase
1488	SA_RS07575	WP_000571108.1	.	AraC family transcriptional regulator
1489	SA_RS07580	WP_001041915.1	.	oligo-1,6-glucosidase
1495	SA_RS07610	WP_000606693.1	.	hypothetical protein
1496	SA_RS07615	WP_001789875.1	.	hypothetical protein
1497	SA_RS07620	WP_000916196.1	.	membrane protein
1498	SA_RS07625	WP_000367419.1	.	hypothetical protein
1499	SA_RS07630	WP_000406838.1	.	2-oxoglutarate dehydrogenase E2
1502	SA_RS07645	WP_001291533.1	.	dihydrolipoyl dehydrogenase
1503	SA_RS07650	WP_000942210.1	.	DNA repair protein RecN
1504	SA_RS07655	WP_001124985.1	.	arginine repressor
1505	SA_RS07660	WP_000183383.1	.	geranyltranstransferase
1506	SA_RS07665	WP_000159865.1	.	exodeoxyribonuclease 7 small subunit
1507	SA_RS07670	WP_001286928.1	.	exodeoxyribonuclease 7 large subunit
1509	SA_RS07680	WP_000241588.1	.	hypothetical protein
1510	SA_RS07685	WP_000756612.1	.	acetyl-CoA carboxylase biotin carboxylase subunit
1511	SA_RS07690	WP_001009516.1	.	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
1512	SA_RS07695	WP_000626504.1	.	elongation factor P
1513	SA_RS07700	WP_000087103.1	.	peptidase M24
1516	SA_RS07715	WP_000141109.1	.	octanoyltransferase LipM
1518	SA_RS07725	WP_000202188.1	.	glycine dehydrogenase
1519	SA_RS07730	WP_000019691.1	.	glycine dehydrogenase
1520	SA_RS07735	WP_000093349.1	.	aminomethyltransferase
1521	SA_RS07740	WP_001015120.1	.	shikimate kinase
1522	SA_RS07745	WP_000954378.1	.	hypothetical protein
1529	SA_RS07780	WP_001223008.1	.	hydroxyacylglutathione hydrolase
1531	SA_RS07790	WP_000161311.1	.	glucokinase
1532	SA_RS07795	WP_000087561.1	.	hypothetical protein
1533	SA_RS07800	WP_001017867.1	.	rhomboid family intramembrane serine protease
1534	SA_RS07805	WP_001557360.1	.	5-formyltetrahydrofolate cyclo-ligase
1535	SA_RS07810	WP_001265709.1	.	50S ribosomal protein L33
1537	SA_RS07820	WP_000863556.1	.	superoxide dismutase
1540	SA_RS07835	WP_001213908.1	.	zinc ABC transporter ATP-binding protein
1541	SA_RS07840	WP_000924220.1	.	endonuclease
1542	SA_RS07845	WP_001062176.1	.	DEAD/DEAH box family ATP-dependent RNA helicase
1545	SA_RS07860	WP_001283057.1	.	RNA polymerase sigma factor SigA
1547	SA_RS07870	WP_000411298.1	.	phosphoenolpyruvate synthase regulatory protein
1548	SA_RS07875	WP_000012632.1	.	CBS domain-containing protein
1550	SA_RS07885	WP_000929095.1	recO	DNA repair protein RecO
1551	SA_RS07890	WP_000134765.1	era	GTPase Era
1552	SA_RS07895	WP_000121875.1	.	cytidine deaminase
1553	SA_RS07900	WP_000819532.1	.	diacylglycerol kinase
1554	SA_RS07905	WP_000494134.1	.	endoribonuclease YbeY
1556	SA_RS07915	WP_000110600.1	.	iron transporter
1557	SA_RS07920	WP_000492108.1	.	hypothetical protein
1559	SA_RS07930	WP_000048060.1	.	30S ribosomal protein S21
1560	SA_RS07935	WP_000108668.1	.	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))- methylthiotransferase MtaB
1562	SA_RS07945	WP_001104607.1	.	ribosomal protein L11 methyltransferase
1563	SA_RS07950	WP_001119021.1	.	molecular chaperone DnaJ
1566	SA_RS07965	WP_000627144.1	.	HrcA family transcriptional regulator
1569	SA_RS07980	WP_000368338.1	.	elongation factor 4
1570	SA_RS07985	WP_001274017.1	.	30S ribosomal protein S20
1571	SA_RS07990	WP_001282560.1	.	DNA polymerase III subunit delta
1573	SA_RS08000	WP_000439693.1	.	ComE operon protein 2
1575	SA_RS08010	WP_000084830.1	.	methyltransferase
1576	SA_RS08015	WP_001088020.1	.	ribosome silencing factor RsfS
1577	SA_RS08020	WP_001019324.1	.	haloacid dehalogenase
1578	SA_RS08025	WP_000725167.1	.	nicotinate-nicotinamide nucleotide adenylyltransferase
1579	SA_RS08030	WP_000955235.1	.	RNA-binding protein
1580	SA_RS08035	WP_000666757.1	.	shikimate dehydrogenase
1581	SA_RS08040	WP_001280137.1	.	ribosome biogenesis GTPase YqeH
1582	SA_RS08045	WP_000524903.1	.	hypothetical protein
1585	SA_RS08060	WP_000829749.1	.	membrane protein
1592	SA_RS08095	WP_001019340.1	.	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
1595	SA_RS08110	WP_000431312.1	.	transcription elongation factor GreA
1596	SA_RS08115	WP_000648617.1	.	uridine kinase
1597	SA_RS08120	WP_000848304.1	.	protease
1598	SA_RS08125	WP_000137774.1	.	peptidase U32
1599	SA_RS08130	WP_000342258.1	.	O-methyltransferase
1600	SA_RS08135	WP_000134779.1	.	hypothetical protein
1601	SA_RS08140	WP_000939059.1	.	crossover junction endodeoxyribonuclease RuvA
1602	SA_RS08145	WP_000426912.1	.	hypothetical protein
1603	SA_RS08150	WP_000734075.1	alaS	alanine--tRNA ligase
1605	SA_RS08160	WP_000567017.1	.	hypothetical protein
1606	SA_RS08165	WP_000066097.1	.	tRNA(5-methylaminomethyl-2-thiouridine)- methyltransferase
1607	SA_RS08170	WP_000409157.1	.	cysteine desulfurase
1611	SA_RS08190	WP_000704122.1	.	Rrf2 family transcriptional regulator
1612	SA_RS08195	WP_000102729.1	.	recombinase RarA
1613	SA_RS08200	WP_000682646.1	.	tRNA threonylcarbamoyladenosine dehydratase
1615	SA_RS08210	WP_000044799.1	aspS	aspartate--tRNA ligase
1616	SA_RS08215	WP_000590826.1	.	histidine--tRNA ligase
1619	SA_RS08230	WP_001058587.1	.	GTP pyrophosphokinase
1620	SA_RS08235	WP_000364542.1	.	adenine phosphoribosyltransferase
1622	SA_RS08245	WP_000749795.1	.	protein translocase subunit SecDF
1623	SA_RS08250	WP_001160682.1	.	preprotein translocase subunit YajC
1624	SA_RS08255	WP_001112045.1	.	tRNA-guanine(34) transglycosylase
1625	SA_RS08260	WP_001019178.1	.	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
1626	SA_RS08265	WP_001005768.1	.	Holliday junction DNA helicase RuvB
1627	SA_RS08270	WP_000271550.1	.	Holliday junction ATP-dependent DNA helicase RuvA
1628	SA_RS08275	WP_000368902.1	.	hypothetical protein
1630	SA_RS08285	WP_000916187.1	.	50S ribosomal protein L27
1631	SA_RS08290	WP_000633692.1	.	hypothetical protein
1634	SA_RS08305	WP_000911041.1	.	rod shape-determining protein MreC
1636	SA_RS08315	WP_001236734.1	.	membrane protein
1637	SA_RS08320	WP_000171859.1	.	membrane protein
1647	SA_RS08370	WP_001108346.1	.	bifunctional folylpolyglutamate synthase/dihydrofolate synthase
1648	SA_RS08375	WP_000425353.1	valS	valine--tRNA ligase
1652	SA_RS08395	WP_001270865.1	.	glutamate-1-semialdehyde 2,1-aminomutase
1654	SA_RS08405	WP_000805951.1	.	uroporphyrinogen III methyltransferase
1655	SA_RS08410	WP_001230232.1	.	hydroxymethylbilane synthase
1657	SA_RS08420	WP_000545451.1	.	glutamyl-tRNA reductase
1658	SA_RS08425	WP_000867697.1	engB	GTP-binding protein
1659	SA_RS08430	WP_000472302.1	.	ATP-dependent Clp protease ATP-binding subunit ClpX
1662	SA_RS08445	WP_001280022.1	.	hypothetical protein
1663	SA_RS08450	WP_000032657.1	.	DNA mismatch repair protein MutT
1665	SA_RS08460	WP_001138360.1	.	50S ribosomal protein L20
1666	SA_RS08465	WP_001125540.1	rpmI	50S ribosomal protein L35
1667	SA_RS08470	WP_001791162.1	.	translation initiation factor IF-3
1670	SA_RS08485	WP_001790562.1	.	hypothetical protein
1671	SA_RS08490	WP_000808621.1	.	primosomal protein DnaI
1673	SA_RS08500	WP_000650082.1	nrdR	NrdR family transcriptional regulator
1674	SA_RS08505	WP_000106141.1	.	glyceraldehyde-3-phosphate dehydrogenase
1677	SA_RS08520	WP_001038317.1	.	DNA polymerase I
1680	SA_RS08535	WP_000080028.1	.	DNA-binding response regulator
1682	SA_RS08545	WP_000123165.1	.	isocitrate dehydrogenase (NADP(+))
1683	SA_RS08550	WP_000829167.1	.	citrate synthase
1685	SA_RS08560	WP_001232648.1	.	pyruvate kinase
1686	SA_RS08565	WP_000717561.1	.	ATP-dependent 6-phosphofructokinase
1687	SA_RS08570	WP_000883648.1	.	acetyl-CoA carboxylase carboxyltransferase subunit alpha
1688	SA_RS08575	WP_000471571.1	.	acetyl-CoA carboxylase carboxyltransferase subunit beta
1689	SA_RS08580	WP_000058389.1	.	NAD-dependent malic enzyme 4
1691	SA_RS08590	WP_000626082.1	.	oligoribonuclease
1693	SA_RS08600	WP_000277602.1	.	universal stress protein UspA
1698	SA_RS08625	WP_000634175.1	.	universal stress protein UspA
1699	SA_RS08630	WP_000040063.1	.	acetate kinase
1700	SA_RS08635	WP_000840576.1	.	adenine methyltransferase
1707	SA_RS08670	WP_000207852.1	.	hypothetical protein
1712	SA_RS08695	WP_000553924.1	.	peroxiredoxin
1716	SA_RS08715	WP_000721699.1	.	haloacid dehalogenase
1718	SA_RS08725	WP_000287588.1	.	1-acyl-sn-glycerol-3-phosphate acyltransferase
1719	SA_RS08730	WP_001279338.1	.	serine protease
1722	SA_RS08745	WP_031761401.1	.	hypothetical protein
1727	SA_RS08770	WP_001016004.1	.	acetoin dehydrogenase
1734	SA_RS08805	WP_000383814.1	.	hypothetical protein
1735	SA_RS08810	WP_000150169.1	.	UDP-N-acetylmuramate--L-alanine ligase
1738	SA_RS08825	WP_001091387.1	.	hypothetical protein
1741	SA_RS08840	WP_001549040.1	.	peptidase
1743	SA_RS08850	WP_001266161.1	.	tRNA (guanine-N(7)-)-methyltransferase
1744	SA_RS08855	WP_000434765.1	.	phosphotransferase
1746	SA_RS08865	WP_000265417.1	.	diguanylate cyclase
1748	SA_RS08875	WP_001217125.1	.	16S rRNA pseudouridine(516) synthase
1755	SA_RS08910	WP_000526539.1	.	TIGR01212 family radical SAM protein
1759	SA_RS08930	WP_001789006.1	.	hypothetical protein
1761	SA_RS08940	WP_001008549.1	.	6,7-dimethyl-8-ribityllumazine synthase
1763	SA_RS08950	WP_000493887.1	.	riboflavin synthase subunit alpha
1769	SA_RS08980	WP_000384171.1	.	hypothetical protein
1774	SA_RS09005	WP_001096495.1	.	transaldolase
1783	SA_RS09050	WP_000366163.1	.	hypothetical protein
1787	SA_RS09070	WP_001557389.1	.	nucleoside triphosphatase YtkD
1788	SA_RS09075	WP_000718107.1	.	membrane protein insertion efficiency factor YidD
1791	SA_RS09090	WP_001557391.1	.	hypothetical protein
1840	SA_RS09330	WP_000162881.1	.	ferrochelatase
1841	SA_RS09335	WP_000233526.1	.	uroporphyrinogen decarboxylase
1845	SA_RS09355	WP_000216874.1	.	multidrug ABC transporter ATP-binding protein
1846	SA_RS09360	WP_000004981.1	.	cell-cycle regulation protein HIT
1847	SA_RS09365	WP_000648118.1	.	hypothetical protein
1850	SA_RS09380	WP_001244175.1	.	3'-5' exoribonuclease
1851	SA_RS09385	WP_000584628.1	.	DNA double-strand break repair Rad50 ATPase
1852	SA_RS09390	WP_000238227.1	.	DNA repair exonuclease
1854	SA_RS09400	WP_000290301.1	.	hypothetical protein
1856	SA_RS09410	WP_000375864.1	.	transcriptional regulator
1859	SA_RS09425	WP_000669376.1	.	RNA pseudouridine synthase
1861	SA_RS09435	WP_000901023.1	.	membrane protein
1862	SA_RS09440	WP_000031108.1	.	hypothetical protein
1863	SA_RS09445	WP_001251224.1	.	glucosamine-6-phosphate isomerase
1903	SA_RS09645	WP_001011595.1	.	glutamate-1-semialdehyde 2,1-aminomutase
1909	SA_RS09675	WP_000379098.1	.	metal-dependent hydrolase
1911	SA_RS09685	WP_000886462.1	.	membrane protein
1912	SA_RS09690	WP_000535834.1	.	teichoic acid ABC transporter ATP-binding protein
1913	SA_RS09695	WP_000435806.1	.	hypothetical protein
1914	SA_RS09700	WP_001124422.1	.	regulatory protein RecX
1915	SA_RS09705	WP_000830380.1	.	monofunctional glycosyltransferase
1917	SA_RS09715	WP_001005407.1	.	hypothetical protein
1919	SA_RS09725	WP_000184383.1	.	acyl-CoA thioesterase
1923	SA_RS09745	WP_000428172.1	.	hypothetical protein
1925	SA_RS09755	WP_000153535.1	.	DNA-binding response regulator
1926	SA_RS09760	WP_001017131.1	.	two-component sensor histidine kinase
1927	SA_RS09765	WP_000149064.1	.	transporter
1928	SA_RS09770	WP_001110179.1	.	hypothetical protein
1929	SA_RS09775	WP_000636142.1	.	methionine aminopeptidase
1932	SA_RS09790	WP_001163421.1	.	hypothetical protein
1934	SA_RS09800	WP_000544969.1	.	glutamine amidotransferase
1935	SA_RS09805	WP_001250343.1	.	UDP-N-acetylmuramate--alanine ligase
1936	SA_RS09810	WP_000949467.1	.	non-heme ferritin
1938	SA_RS09820	WP_000613738.1	.	DNA polymerase III subunit epsilon
1940	SA_RS09830	WP_000548781.1	.	hypothetical protein
1942	SA_RS09840	WP_001231451.1	.	diacylglycerol kinase
1944	SA_RS09850	WP_000545370.1	.	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
1945	SA_RS09855	WP_000027919.1	gatA	glutamyl-tRNA(Gln) amidotransferase subunit A
1946	SA_RS09860	WP_000170162.1	.	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
1949	SA_RS09875	WP_000774556.1	ligA	DNA ligase (NAD(+)) LigA
1950	SA_RS09880	WP_000992924.1	.	ATP-dependent DNA helicase PcrA
1951	SA_RS09885	WP_000272056.1	.	geranylgeranylglyceryl/heptaprenylglyceryl phosphate synthase
1952	SA_RS09890	WP_001165363.1	.	hypothetical protein
1955	SA_RS09905	WP_000434933.1	.	staphostatin A
1960	SA_RS09930	WP_000897635.1	.	nitric oxide synthase oxygenase
1964	SA_RS09950	WP_000275727.1	.	pectate lyase
1965	SA_RS09955	WP_000149686.1	.	isochorismatase
1967	SA_RS09965	WP_001793421.1	.	hypothetical protein
1968	SA_RS09970	WP_001021210.1	.	aldehyde dehydrogenase
1969	SA_RS09975	WP_000181315.1	.	hypothetical protein
1972	SA_RS09990	WP_001188043.1	.	choloylglycine hydrolase
1973	SA_RS09995	WP_000713072.1	.	hypothetical protein
1975	SA_RS10005	WP_000966288.1	.	membrane protein
1977	SA_RS10015	WP_001221651.1	.	membrane protein
1978	SA_RS10020	WP_000763043.1	.	antibiotic ABC transporter ATP-binding protein
1979	SA_RS10025	WP_000645727.1	.	membrane protein
1981	SA_RS10035	WP_000691584.1	.	GntR family transcriptional regulator
1983	SA_RS10045	WP_000990056.1	.	hypothetical protein
2092	SA_RS10600	WP_000141432.1	.	sucrose-6-phosphate hydrolase
2095	SA_RS10615	WP_000581076.1	.	oxidoreductase
2097	SA_RS10625	WP_001283612.1	.	transcriptional regulator
2098	SA_RS10630	WP_000602057.1	.	ABC transporter ATP-binding protein
2101	SA_RS10645	WP_000159041.1	.	N(6)-L-threonylcarbamoyladenine synthase TsaD
2102	SA_RS10650	WP_000372758.1	.	ribosomal-protein-alanine N-acetyltransferase RimI
2103	SA_RS10655	WP_001086737.1	.	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
2107	SA_RS10675	WP_000047811.1	.	acetolactate synthase, large subunit, biosynthetic type
2124	SA_RS10760	WP_001052491.1	.	anti-sigma B factor antagonist
2128	SA_RS10780	WP_000948331.1	.	antitoxin MazE
2129	SA_RS10785	WP_001281154.1	.	alanine racemase
2130	SA_RS10790	WP_000581197.1	.	holo-ACP synthase
2131	SA_RS10795	WP_001557481.1	.	membrane protein
2134	SA_RS10810	WP_001092411.1	.	potassium-transporting ATPase subunit C
2143	SA_RS10855	WP_000159631.1	ddl	D-alanine--D-alanine ligase
2144	SA_RS10860	WP_001109939.1	.	cell division protein FtsW
2146	SA_RS10870	WP_000581792.1	.	hypothetical protein
2147	SA_RS10875	WP_000138932.1	.	hypothetical protein
2148	SA_RS10880	WP_000571549.1	.	cardiolipin synthase
2154	SA_RS10910	WP_000594954.1	.	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
2156	SA_RS10920	WP_001803868.1	.	hypothetical protein
2159	SA_RS10935	WP_000846746.1	.	hypothetical protein
2160	SA_RS10940	WP_000447678.1	.	beta-hydroxyacyl-ACP dehydratase
2162	SA_RS10950	WP_000384523.1	.	membrane protein
2165	SA_RS10965	WP_000511135.1	.	ATP synthase subunit beta
2166	SA_RS10970	WP_000157603.1	.	ATP synthase subunit gamma
2167	SA_RS10975	WP_000974881.1	.	ATP synthase subunit alpha
2168	SA_RS10980	WP_000241344.1	.	ATP synthase subunit delta
2169	SA_RS10985	WP_000140679.1	.	ATP synthase subunit B
2170	SA_RS10990	WP_001048816.1	.	ATP synthase subunit C
2171	SA_RS10995	WP_000349655.1	.	ATP synthase subunit A
2174	SA_RS11010	WP_000048712.1	upp	uracil phosphoribosyltransferase
2175	SA_RS11015	WP_000120494.1	.	serine hydroxymethyltransferase
2177	SA_RS11025	WP_000697334.1	.	protein-tyrosine-phosphatase
2179	SA_RS11035	WP_000248732.1	.	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase
2181	SA_RS11045	WP_000273358.1	.	thymidine kinase
2182	SA_RS11050	WP_000808968.1	rpmE2	50S ribosomal protein L31 type B
2184	SA_RS11060	WP_001206093.1	.	aldehyde dehydrogenase
2185	SA_RS11065	WP_000451438.1	.	HxlR family transcriptional regulator
2186	SA_RS11070	WP_000046602.1	.	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
2187	SA_RS11075	WP_001131841.1	.	fructose-bisphosphate aldolase
2189	SA_RS11085	WP_000159960.1	.	CTP synthetase
2196	SA_RS11120	WP_000164421.1	.	S-ribosylhomocysteine lyase
2197	SA_RS11125	WP_001024035.1	.	membrane protein
2198	SA_RS11130	WP_001242311.1	deoA	pyrimidine-nucleoside phosphorylase
2202	SA_RS11150	WP_000070866.1	.	DNA starvation/stationary phase protection protein
2203	SA_RS11155	WP_001123303.1	.	hypothetical protein
2204	SA_RS11160	WP_000123398.1	.	EVE domain-containing protein
2205	SA_RS11165	WP_000808817.1	.	membrane protein
2208	SA_RS11180	WP_000003759.1	.	transcriptional regulator
2224	SA_RS11260	WP_001292149.1	.	mannitol-specific phosphotransferase enzyme IIA component
2228	SA_RS11280	WP_000894032.1	.	hypothetical protein
2229	SA_RS11285	WP_000347896.1	.	ABC transporter permease
2252	SA_RS11400	WP_001214661.1	.	ABC transporter substrate-binding protein
2254	SA_RS11410	WP_000951624.1	.	alanine racemase
2258	SA_RS11430	WP_000215236.1	.	alkaline shock protein 23
2259	SA_RS11435	WP_000002683.1	.	hypothetical protein
2260	SA_RS11440	WP_000825819.1	.	hypothetical protein
2267	SA_RS11475	WP_001078309.1	.	lactose-specific phosphotransferase enzyme IIA component
2268	SA_RS11480	WP_000047009.1	.	tagatose 1,6-diphosphate aldolase
2271	SA_RS11495	WP_000974608.1	.	galactose-6-phosphate isomerase subunit LacA
2276	SA_RS11520	WP_001015500.1	.	2,5-diketo-D-gluconic acid reductase
2293	SA_RS11605	WP_001250038.1	.	50S ribosomal protein L13
2295	SA_RS11615	WP_000791620.1	.	energy-coupling factor transporter protein EcfT
2298	SA_RS11630	WP_000542274.1	.	50S ribosomal protein L17
2299	SA_RS11635	WP_000569649.1	.	DNA-directed RNA polymerase subunit alpha
2300	SA_RS11640	WP_000101625.1	.	30S ribosomal protein S11
2301	SA_RS11645	WP_000090796.1	.	30S ribosomal protein S13
2302	SA_RS11650	WP_000868342.1	rpmJ	50S ribosomal protein L36
2303	SA_RS11655	WP_001118443.1	infA	translation initiation factor IF-1
2304	SA_RS11660	WP_001021468.1	.	adenylate kinase
2305	SA_RS11665	WP_000616784.1	.	protein translocase subunit SecY
2306	SA_RS11670	WP_000766074.1	.	50S ribosomal protein L15
2307	SA_RS11675	WP_001096577.1	.	50S ribosomal protein L30
2308	SA_RS11680	WP_000113851.1	.	30S ribosomal protein S5
2309	SA_RS11685	WP_000623881.1	.	50S ribosomal protein L18
2310	SA_RS11690	WP_000091975.1	.	50S ribosomal protein L6
2311	SA_RS11695	WP_000178881.1	.	30S ribosomal protein S8
2312	SA_RS11700	WP_001140799.1	rpsN	30S ribosomal protein S14 type Z
2313	SA_RS11705	WP_001080824.1	.	50S ribosomal protein L5
2314	SA_RS11710	WP_000547687.1	.	50S ribosomal protein L24
2315	SA_RS11715	WP_000615921.1	.	50S ribosomal protein L14
2316	SA_RS11720	WP_000004085.1	.	30S ribosomal protein S17
2317	SA_RS11725	WP_000644737.1	.	50S ribosomal protein L29
2318	SA_RS11730	WP_000926310.1	.	50S ribosomal protein L16
2319	SA_RS11735	WP_000529877.1	.	30S ribosomal protein S3
2320	SA_RS11740	WP_000387527.1	.	50S ribosomal protein L22
2321	SA_RS11745	WP_000124353.1	.	30S ribosomal protein S19
2322	SA_RS11750	WP_000985472.1	rplB	50S ribosomal protein L2
2323	SA_RS11755	WP_000388082.1	.	50S ribosomal protein L23
2324	SA_RS11760	WP_000024827.1	.	50S ribosomal protein L4
2325	SA_RS11765	WP_000160212.1	.	50S ribosomal protein L3
2326	SA_RS11770	WP_001118667.1	.	30S ribosomal protein S10
2328	SA_RS11780	WP_000800700.1	.	guanine permease
2332	SA_RS11800	WP_001159898.1	.	glucose uptake protein GlcU
2335	SA_RS11815	WP_000051210.1	.	hypothetical protein
2336	SA_RS11820	WP_001161085.1	.	membrane protein
2338	SA_RS11830	WP_000413862.1	.	lipid II:glycine glycyltransferase
2339	SA_RS11835	WP_001549681.1	.	membrane protein
2341	SA_RS11845	WP_000951058.1	.	MarR family transcriptional regulator
2343	SA_RS11855	WP_000066900.1	.	transcriptional regulator
2346	SA_RS11870	WP_000230173.1	.	cyclic pyranopterin monophosphate synthase
2347	SA_RS11875	WP_000643986.1	.	molybdenum cofactor guanylyltransferase
2348	SA_RS11880	WP_000866971.1	.	molybdopterin synthase sulfur carrier subunit
2349	SA_RS11885	WP_000808495.1	.	molybdopterin synthase catalytic subunit
2350	SA_RS11890	WP_000602950.1	.	molybdopterin-guanine dinucleotide biosynthesis protein B
2352	SA_RS11900	WP_000134526.1	.	cyclic pyranopterin monophosphate synthase accessory protein
